Rk,Player,playerid,Pos,Squad,MP,Starts,Min,90s
6,Janni Arnth,e4e3c571,DF,Arsenal WFC,6,3,256,2.8
15,Paige Bailey-Gayle,ed407647,FW,Arsenal WFC,3,1,102,1.1
47,Danielle Carter,5d6d3dbb,MFFW,Arsenal WFC,6,0,84,0.9
60,Daniëlle van de Donk,6876815f,MFFW,Arsenal WFC,19,18,1588,17.6
70,Lisa Evans,755ef87c,DFMF,Arsenal WFC,18,16,1412,15.7
75,Melisa Filis,a07a7a88,MF,Arsenal WFC,1,0,1,0
88,Ruby Grant,fc1149cc,MFFW,Arsenal WFC,2,0,12,0.1
98,Amelia Hazard,ccaf2066,FW,Arsenal WFC,2,0,23,0.3
114,Dominique Janssen,800b668b,MFDF,Arsenal WFC,19,19,1676,18.6
119,Tabea Kemme,4fea1010,FWMF,Arsenal WFC,3,0,3,0
126,Ava Kuyken,2cc918c3,FWDF,Arsenal WFC,7,1,109,1.2
136,Kim Little,bef86627,MF,Arsenal WFC,14,14,1225,13.6
144,Katie McCabe,cb3a3ff4,MFFW,Arsenal WFC,20,17,1575,17.5
147,Beth Mead,921c8f1d,FWMF,Arsenal WFC,19,18,1519,16.9
148,Vivianne Miedema,fa4e4c0a,FW,Arsenal WFC,20,20,1779,19.8
149,Emma Mitchell,0bf3e7fe,DF,Arsenal WFC,11,9,809,9
160,Jordan Nobbs,2225335c,MFFW,Arsenal WFC,8,8,704,7.8
170,Pauline Peyraud Magnin,c6876fd6,GK,Arsenal WFC,13,13,1170,13
175,Louise Quinn,4aa73137,DF,Arsenal WFC,19,17,1544,17.2
192,Jessica Samuelsson,9a3cb08a,DF,Arsenal WFC,8,1,193,2.1
194,Viktoria Schnaderbeck,51d0ba7e,MFDF,Arsenal WFC,5,1,104,1.2
218,Sari van Veenendaal,b2803b53,GK,Arsenal WFC,7,7,630,7
219,Katrine Veje,613c3da2,DFMF,Arsenal WFC,8,7,622,6.9
225,Lia Wälti,5410bdaa,MF,Arsenal WFC,12,12,1058,11.8
234,Leah Williamson,9a40ae1f,DF,Arsenal WFC,19,18,1602,17.8
7,Chloe Arthur,e91e309c,MF,Birmingham City WFC,19,16,1426,15.8
22,Ann-Katrin Berger,be9f3298,GK,Birmingham City WFC,8,8,720,8
71,Marisa Ewers,eac6835d,MF,Birmingham City WFC,8,8,597,6.6
79,Emma Follis,e5239596,FW,Birmingham City WFC,20,17,1377,15.3
91,Hannah Hampton,87f3ffa4,GK,Birmingham City WFC,12,12,1080,12
95,Kerys Harrop,c6966699,DF,Birmingham City WFC,19,18,1631,18.1
97,Shania Hayles,6ad4cec9,FWMF,Birmingham City WFC,5,0,28,0.3
